sku,product_name,product_id,asset_role,filename,aspect_ratio,min_resolution_px,upload_intake_path,production_storage_path,required,review_status,owner,notes
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,hero,OAS-AS-BKL-0024_hero.jpg,16:9,1600x900,product-images/batch001/intake/first5/OAS-AS-BKL-0024_hero.jpg,product-images/batch001/live/OAS-AS-BKL-0024_hero.jpg,yes,pending_upload,merchandising,Turkish Baklawa 1kg
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,square,OAS-AS-BKL-0024_square.jpg,1:1,1200x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0024_square.jpg,product-images/batch001/live/OAS-AS-BKL-0024_square.jpg,yes,pending_upload,merchandising,Primary catalogue image_url candidate
OAS-AS-BKL-0024,Mor Pistachio Durum,cea65af8-129c-4838-988f-30955fa5bc22,detail,OAS-AS-BKL-0024_detail.jpg,4:3,1600x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0024_detail.jpg,product-images/batch001/live/OAS-AS-BKL-0024_detail.jpg,no,pending_upload,merchandising,Optional close-up
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,hero,OAS-AS-BKL-0020_hero.jpg,16:9,1600x900,product-images/batch001/intake/first5/OAS-AS-BKL-0020_hero.jpg,product-images/batch001/live/OAS-AS-BKL-0020_hero.jpg,yes,pending_upload,merchandising,Lebanese Baklawa 6kg
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,square,OAS-AS-BKL-0020_square.jpg,1:1,1200x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0020_square.jpg,product-images/batch001/live/OAS-AS-BKL-0020_square.jpg,yes,pending_upload,merchandising,Primary catalogue image_url candidate
OAS-AS-BKL-0020,Tart Cashew,b0aee1c4-4502-4a15-9880-e2c01378c0b5,detail,OAS-AS-BKL-0020_detail.jpg,4:3,1600x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0020_detail.jpg,product-images/batch001/live/OAS-AS-BKL-0020_detail.jpg,no,pending_upload,merchandising,Optional close-up
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,hero,OAS-AS-BKL-0001_hero.jpg,16:9,1600x900,product-images/batch001/intake/first5/OAS-AS-BKL-0001_hero.jpg,product-images/batch001/live/OAS-AS-BKL-0001_hero.jpg,yes,pending_upload,merchandising,Lebanese Baklawa 3kg
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,square,OAS-AS-BKL-0001_square.jpg,1:1,1200x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0001_square.jpg,product-images/batch001/live/OAS-AS-BKL-0001_square.jpg,yes,pending_upload,merchandising,Primary catalogue image_url candidate
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,detail,OAS-AS-BKL-0001_detail.jpg,4:3,1600x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0001_detail.jpg,product-images/batch001/live/OAS-AS-BKL-0001_detail.jpg,no,pending_upload,merchandising,Optional close-up
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,hero,OAS-AS-BKL-0025_hero.jpg,16:9,1600x900,product-images/batch001/intake/first5/OAS-AS-BKL-0025_hero.jpg,product-images/batch001/live/OAS-AS-BKL-0025_hero.jpg,yes,pending_upload,merchandising,Turkish Baklawa 1kg
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,square,OAS-AS-BKL-0025_square.jpg,1:1,1200x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0025_square.jpg,product-images/batch001/live/OAS-AS-BKL-0025_square.jpg,yes,pending_upload,merchandising,Primary catalogue image_url candidate
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,detail,OAS-AS-BKL-0025_detail.jpg,4:3,1600x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0025_detail.jpg,product-images/batch001/live/OAS-AS-BKL-0025_detail.jpg,no,pending_upload,merchandising,Optional close-up
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,hero,OAS-AS-BKL-0007_hero.jpg,16:9,1600x900,product-images/batch001/intake/first5/OAS-AS-BKL-0007_hero.jpg,product-images/batch001/live/OAS-AS-BKL-0007_hero.jpg,yes,pending_upload,merchandising,Lebanese Baklawa 3kg
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,square,OAS-AS-BKL-0007_square.jpg,1:1,1200x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0007_square.jpg,product-images/batch001/live/OAS-AS-BKL-0007_square.jpg,yes,pending_upload,merchandising,Primary catalogue image_url candidate
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,detail,OAS-AS-BKL-0007_detail.jpg,4:3,1600x1200,product-images/batch001/intake/first5/OAS-AS-BKL-0007_detail.jpg,product-images/batch001/live/OAS-AS-BKL-0007_detail.jpg,no,pending_upload,merchandising,Optional close-up
